Scene,Key,KeyID,en,vn,
order_list,deliveryDate,order_list.deliveryDate,Delivery date,Ngày hẹn giao,
order_list,customerName,order_list.customerName,Customer name,Tên khách hàng,
order_list,province,order_list.province,City,Tỉnh/thành phố,
order_list,district,order_list.district,Province,Quận/huyện,
order_list,customerPhone,order_list.customerPhone,Customer phone,Số điện thoại,
order_list,import_tracking_number_lbc,order_list.import_tracking_number_lbc,Import tracking number LBC,Nhập mã vận đơn từ LBC,
order_status,PICKED_UP,order_status.PICKED_UP,Picked up,Hàng được bưu tá lấy,
order_status,NEW,order_status.NEW,New,Mới,
order_status,READY,order_status.READY,Ready,Đóng gói xong,
order_status,DELIVERING,order_status.DELIVERING,Delivering,Đang giao,
order_status,DELIVERED,order_status.DELIVERED,Delivered,Đã nhận,
order_status,HOLD,order_status.HOLD,Hold,Chưa gửi,
order_status,RETURNED,order_status.RETURNED,Returned,Bị trả lại,
order_status,CANCELLED,order_status.CANCELLED,Cancelled,Hủy,
order_status_cancelled,cancelByCustomer,order_status_cancelled.cancelByCustomer,Cancel by customer,Khách hàng hủy đơn hàng,
order_status_cancelled,other ,order_status_cancelled.other ,Other ,Lý do khác,
order_status_cancelled,outOfDeliveryZone,order_status_cancelled.outOfDeliveryZone,Out of Delivery Zone,Đơn vị vận chuyển không hỗ trợ giao,
order_list,status,order_list.status,Status,Trạng thái,
error,timeout,error.timeout,Request timeout; please try again later,Máy chủ phản hồi quá chậm; vui lòng thử lại,
error,once,error.once,We are still processing your request; please wait,Bạn thao tác nhanh quá; hệ thống vẫn đang xử lý,
order_status,RETURN,order_status.RETURN,Return,Trả lại,
order_status,RETURNED,order_status.RETURNED,Returned,Đổi trả hàng thành công,
order_status,RETURNING,order_status.RETURNING,Returning,Đơn hoàn,
order_status,EXCHANGE,order_status.EXCHANGE,Exchange,Đổi hàng,
order_sub_status,WRONG,order_sub_status.WRONG,Wrong,Không giống miêu tả,
order_sub_status,DEFECTIVE,order_sub_status.DEFECTIVE,Defective,Hàng hư lỗi,
dashboard,new_contact,dashboard.new_contact,New contact,Liên hệ mới,
dashboard,new_call,dashboard.new_call,New call,Cuộc gọi mới,
dashboard,new_delivered_order,dashboard.new_delivered_order,New delivered order,Đơn hàng đã giao,
dashboard,new_scheduled_order,dashboard.new_scheduled_order,Scheduled order today,Đơn hàng hẹn giao hôm nay,
dashboard,new_order,dashboard.new_order,New order,Đơn hàng mới,
dashboard,order,dashboard.order,Order,Đơn hàng,
dashboard,contact,dashboard.contact,Contact,Liên hệ,
dashboard,yesterday,dashboard.yesterday,Yesterday,Hôm qua,
tab,count_selected,tab.count_selected,Selected,Được chọn,
profile,password,profile.password,Change password,Đổi mật khẩu,
profile,user,profile.user,Profile,Hồ sơ,
profile,sign_out,profile.sign_out,Sign out,Đăng xuất,
profile,title,profile.title,User Profile,Hồ sơ cá nhân,
profile,activity,profile.activity,Activity,Hành động,
profile,setting,profile.setting,Setting,Chỉnh sửa,
profile,fullname,profile.fullname,Fullname,Họ và tên,
profile,address,profile.address,Address,Địa chỉ,
profile,gender,profile.gender,Gender,Giới tính,
profile,birthday,profile.birthday,Birthday,Ngày sinh,
profile,submit,profile.submit,Submit,Cập nhật,
statistics,title,statistics.title,Statistics,Thống kê,
profile,fullname_length,profile.fullname_length,Fullname length is incorrect,Độ dài tên không đúng,
profile,address_length,profile.address_length,Address length is incorrect,Độ dài địa chỉ không đúng,
profile,username_length,profile.username_length,Username length is incorrect,Độ dài tên đăng nhập không đúng,
profile,password_length,profile.password_length,Password length is incorrect,Độ dài mật khẩu không đúng,
